Project Name,CompilationUnit,Fully Qualified Name
AJHotDraw,AWTCursor.java,org.jhotdraw.standard.AWTCursor
AJHotDraw,LocatorHandle.java,org.jhotdraw.standard.LocatorHandle
AJHotDraw,AbstractCommand.java,org.jhotdraw.standard.AbstractCommand
AJHotDraw,InsertIntoDrawingVisitor.java,org.jhotdraw.standard.InsertIntoDrawingVisitor
AJHotDraw,PeripheralLocator.java,org.jhotdraw.standard.PeripheralLocator
AJHotDraw,FigureTransferCommand.java,org.jhotdraw.standard.FigureTransferCommand
AJHotDraw,ChopBoxConnector.java,org.jhotdraw.standard.ChopBoxConnector
AJHotDraw,DecoratorFigure.java,org.jhotdraw.standard.DecoratorFigure
AJHotDraw,AbstractTool.java,org.jhotdraw.standard.AbstractTool
AJHotDraw,AbstractTool.java,org.jhotdraw.standard.AbstractTool$EventDispatcher
AJHotDraw,AbstractHandle.java,org.jhotdraw.standard.AbstractHandle
AJHotDraw,SingleFigureEnumerator.java,org.jhotdraw.standard.SingleFigureEnumerator
AJHotDraw,AbstractConnector.java,org.jhotdraw.standard.AbstractConnector
AJHotDraw,NullPainter.java,org.jhotdraw.standard.NullPainter
AJHotDraw,SelectAllCommand.java,org.jhotdraw.standard.SelectAllCommand
AJHotDraw,SelectAllCommand.java,org.jhotdraw.standard.SelectAllCommand$UndoActivity
AJHotDraw,DeleteFromDrawingVisitor.java,org.jhotdraw.standard.DeleteFromDrawingVisitor
AJHotDraw,StorageFormatManager.java,org.jhotdraw.util.StorageFormatManager
AJHotDraw,UndoManager.java,org.jhotdraw.util.UndoManager
AJHotDraw,Undoable.java,org.jhotdraw.util.Undoable
AJHotDraw,Geom.java,org.jhotdraw.util.Geom
AJHotDraw,StandardVersionControlStrategy.java,org.jhotdraw.util.StandardVersionControlStrategy
AJHotDraw,UndoableHandle.java,org.jhotdraw.util.UndoableHandle
AJHotDraw,PaletteLayout.java,org.jhotdraw.util.PaletteLayout
AJHotDraw,UndoableTool.java,org.jhotdraw.util.UndoableTool
AJHotDraw,VersionManagement.java,org.jhotdraw.util.VersionManagement
AJHotDraw,Clipboard.java,org.jhotdraw.util.Clipboard
AJHotDraw,FloatingTextField.java,org.jhotdraw.util.FloatingTextField
AJHotDraw,PaletteButton.java,org.jhotdraw.util.PaletteButton
AJHotDraw,Storable.java,org.jhotdraw.util.Storable
AJHotDraw,PaletteListener.java,org.jhotdraw.util.PaletteListener
AJHotDraw,PaletteIcon.java,org.jhotdraw.util.PaletteIcon
AJHotDraw,StandardStorageFormat.java,org.jhotdraw.util.StandardStorageFormat
AJHotDraw,SerializationStorageFormat.java,org.jhotdraw.util.SerializationStorageFormat
AJHotDraw,GraphLayout.java,org.jhotdraw.util.GraphLayout
AJHotDraw,GraphLayout.java,org.jhotdraw.util.GraphNode
AJHotDraw,ReverseListEnumerator.java,org.jhotdraw.util.ReverseListEnumerator
AJHotDraw,RedoCommand.java,org.jhotdraw.util.RedoCommand
AJHotDraw,CommandMenu.java,org.jhotdraw.util.CommandMenu
AJHotDraw,StorableInput.java,org.jhotdraw.util.StorableInput
AJHotDraw,Bounds.java,org.jhotdraw.util.Bounds
AJHotDraw,CommandButton.java,org.jhotdraw.util.CommandButton
AJHotDraw,UndoableAdapter.java,org.jhotdraw.util.UndoableAdapter
AJHotDraw,Filler.java,org.jhotdraw.util.Filler
AJHotDraw,ColorMap.java,org.jhotdraw.util.ColorEntry
AJHotDraw,ColorMap.java,org.jhotdraw.util.ColorMap
AJHotDraw,StorableOutput.java,org.jhotdraw.util.StorableOutput
AJHotDraw,CommandChoice.java,org.jhotdraw.util.CommandChoice
AJHotDraw,JDOStorageFormat.java,org.jhotdraw.util.JDOStorageFormat
AJHotDraw,JDOStorageFormat.java,org.jhotdraw.util.JDOStorageFormat$DrawingListModel
AJHotDraw,JDOStorageFormat.java,org.jhotdraw.util.JDOStorageFormat$DrawingSelector
AJHotDraw,UndoCommand.java,org.jhotdraw.util.UndoCommand
AJHotDraw,StorageFormat.java,org.jhotdraw.util.StorageFormat
AJHotDraw,VersionRequester.java,org.jhotdraw.util.VersionRequester
AJHotDraw,Animatable.java,org.jhotdraw.util.Animatable
AJHotDraw,CollectionsFactory.java,org.jhotdraw.util.CollectionsFactory
AJHotDraw,CommandListener.java,org.jhotdraw.util.CommandListener
AJHotDraw,Command.java,org.jhotdraw.util.Command
AJHotDraw,Iconkit.java,org.jhotdraw.util.Iconkit
AJHotDraw,VersionControlStrategy.java,org.jhotdraw.util.VersionControlStrategy
